name,champion,deaths,dragon kills,first blood,game duration,gold earned,inhibitor kills,kill assists,kills,total Damage Dealt,total Minions Killed,turret kills,win
Desuuuuuuuuuu,MonkeyKing,7,3,False,19.60,15379,0,11,7,119017,60,1,True
Desuuuuuuuuuu,Xerath,16,3,False,24.50,18545,1,15,4,133296,115,0,False
Desuuuuuuuuuu,Tristana,11,4,False,19.95,14396,0,9,5,89046,109,0,False
Desuuuuuuuuuu,Hecarim,15,1,False,21.23,18644,0,10,19,125805,60,1,False
Desuuuuuuuuuu,Tristana,11,3,True,14.60,13400,0,4,10,55425,57,0,False
Desuuuuuuuuuu,Braum,10,2,False,18.20,11878,0,19,2,48084,40,0,False
Desuuuuuuuuuu,Nunu,10,1,False,16.10,13192,0,9,14,56831,40,1,False
Desuuuuuuuuuu,Soraka,0,0,False,15.92,5683,0,12,3,9923,8,0,True
Desuuuuuuuuuu,Kayn,1,0,False,18.73,7700,0,6,4,101577,16,1,True
Desuuuuuuuuuu,Malphite,3,1,False,19.22,7338,0,13,3,51674,87,0,True
Desuuuuuuuuuu,Amumu,5,1,False,26.02,7916,0,11,1,90662,25,2,True
Desuuuuuuuuuu,Zac,6,3,False,21.67,6292,0,7,1,88315,19,0,False
Desuuuuuuuuuu,Pyke,6,4,False,28.50,8528,0,6,3,28303,36,0,False
Desuuuuuuuuuu,Talon,2,1,False,19.10,6984,0,6,3,62757,105,4,True
Desuuuuuuuuuu,Talon,5,0,False,31.20,11261,0,5,10,107618,152,1,True
Desuuuuuuuuuu,Lux,8,1,False,32.30,9751,0,12,8,66286,73,1,True
Desuuuuuuuuuu,Lux,7,1,False,21.50,12042,0,5,5,74389,90,1,False
Desuuuuuuuuuu,Nasus,8,2,False,17.08,5953,0,1,0,39103,42,0,False
Desuuuuuuuuuu,Yorick,2,0,False,18.48,11626,0,3,7,92215,72,2,True
Desuuuuuuuuuu,Ezreal,8,1,False,13.05,5686,0,2,2,23732,47,0,False
Desuuuuuuuuuu,Yuumi,6,1,False,15.63,6304,0,8,1,32294,49,0,False
Desuuuuuuuuuu,Nidalee,6,1,False,18.65,8086,0,4,2,55817,67,0,False
Desuuuuuuuuuu,Heimerdinger,0,0,False,11.62,5735,0,2,1,34125,35,1,True
Desuuuuuuuuuu,Evelynn,5,0,False,10.22,3568,0,1,1,8782,10,0,False
Desuuuuuuuuuu,Kassadin,10,0,False,26.47,17047,1,17,17,99851,53,1,True
Desuuuuuuuuuu,Mordekaiser,4,0,False,14.45,5428,0,11,1,18487,15,0,True
Desuuuuuuuuuu,Talon,6,2,False,22.58,9314,0,5,1,90149,90,0,False
Desuuuuuuuuuu,Quinn,15,1,False,25.93,11930,0,7,6,75624,41,1,False
Desuuuuuuuuuu,MasterYi,11,2,False,20.58,9145,0,5,2,94955,23,0,False
Desuuuuuuuuuu,Veigar,1,3,False,20.73,9073,0,4,2,100634,99,1,True
Desuuuuuuuuuu,Mordekaiser,3,0,False,14.95,5505,0,4,2,15098,15,0,True
Desuuuuuuuuuu,Caitlyn,6,2,False,15.87,6878,0,2,0,56019,62,2,False
Desuuuuuuuuuu,KogMaw,2,0,False,10.97,3181,0,0,0,7103,12,0,False
Desuuuuuuuuuu,Talon,4,0,False,10.33,4039,0,0,0,32481,34,0,False
Desuuuuuuuuuu,Graves,5,0,False,17.35,6749,2,7,0,46531,30,2,True
Desuuuuuuuuuu,Ziggs,11,0,False,24.55,13019,1,5,7,89526,76,1,True
Desuuuuuuuuuu,Azir,7,1,False,30.02,21399,0,8,13,229413,164,4,True
Desuuuuuuuuuu,Malphite,5,0,False,24.52,14673,1,7,10,89064,60,3,True
Desuuuuuuuuuu,Lux,0,2,False,17.65,4332,0,0,0,0,0,0,False
Desuuuuuuuuuu,Singed,7,0,False,19.02,12334,0,15,10,63228,73,2,True
Desuuuuuuuuuu,Varus,6,2,False,21.75,10098,0,6,3,71519,64,1,False
Desuuuuuuuuuu,Rengar,5,0,True,19.73,14744,0,7,14,97968,46,1,True
Desuuuuuuuuuu,Fizz,4,0,False,31.10,15846,0,4,9,115961,110,0,True
Desuuuuuuuuuu,Braum,12,1,False,23.92,8702,0,6,1,61481,40,1,False
Desuuuuuuuuuu,Rengar,10,2,False,38.55,19624,2,13,4,300790,138,4,True
Desuuuuuuuuuu,Yasuo,2,0,False,22.73,19485,0,8,15,213924,164,2,True
Desuuuuuuuuuu,Gangplank,4,2,False,16.30,8514,0,15,3,60689,44,1,True
Desuuuuuuuuuu,Diana,8,2,False,31.05,17384,0,11,5,225549,129,0,False
Desuuuuuuuuuu,Urgot,4,0,False,13.30,4470,0,1,0,35893,25,0,True
Desuuuuuuuuuu,Chogath,2,0,False,12.48,7949,0,6,6,40496,44,1,True
Desuuuuuuuuuu,Heimerdinger,9,1,False,24.75,11219,0,2,5,82703,41,0,False
Desuuuuuuuuuu,Jayce,5,0,False,11.37,3542,0,0,0,15694,19,0,False
Desuuuuuuuuuu,Thresh,6,2,False,19.42,7776,0,0,0,81496,67,0,False
Desuuuuuuuuuu,Senna,6,2,False,20.93,10537,0,7,3,64596,55,1,False
Desuuuuuuuuuu,Zed,10,0,False,22.35,10320,2,2,2,94430,98,2,True
Desuuuuuuuuuu,Aphelios,7,1,False,14.00,6128,0,1,1,39118,52,0,False
Desuuuuuuuuuu,Ornn,2,1,False,13.87,5977,0,5,1,44283,42,1,True
Desuuuuuuuuuu,Ezreal,3,1,False,25.05,13445,0,10,5,123294,84,3,True
Desuuuuuuuuuu,Zilean,2,0,False,13.62,5899,0,3,2,31344,43,0,True
Desuuuuuuuuuu,Pantheon,7,1,False,15.17,7542,0,1,5,37713,39,0,False
Desuuuuuuuuuu,Vayne,3,1,False,13.63,4602,0,3,0,24255,33,0,False
Desuuuuuuuuuu,Kennen,2,1,False,15.60,7890,0,0,3,45737,73,0,False
Desuuuuuuuuuu,Ezreal,3,1,False,18.17,8198,1,3,3,32180,35,3,True
Desuuuuuuuuuu,Cassiopeia,8,1,True,27.15,13922,0,7,4,122865,115,1,True
Desuuuuuuuuuu,Fiddlesticks,3,1,False,13.37,6554,0,1,4,35932,27,0,False
Desuuuuuuuuuu,Aphelios,5,2,False,17.00,10601,0,1,7,53471,62,0,False
Desuuuuuuuuuu,Urgot,8,2,True,24.87,15523,0,11,10,122658,87,1,True
Desuuuuuuuuuu,Katarina,4,0,False,28.13,20663,1,7,17,168488,143,3,False
Desuuuuuuuuuu,Fiddlesticks,8,0,False,22.30,11698,0,11,7,57232,60,1,True
Desuuuuuuuuuu,Ekko,5,1,False,11.13,6082,0,0,3,27221,41,0,False
Desuuuuuuuuuu,Skarner,6,1,False,14.33,5607,0,3,2,15815,22,0,False
Desuuuuuuuuuu,Katarina,7,4,False,25.48,17295,0,7,13,93213,101,0,True
Desuuuuuuuuuu,Jhin,3,0,False,13.82,7323,0,2,4,51052,77,1,True
Desuuuuuuuuuu,Nocturne,1,1,False,13.93,12443,0,1,11,70913,82,2,True
Desuuuuuuuuuu,Ziggs,4,0,True,22.18,12944,1,15,9,84017,41,1,True
Desuuuuuuuuuu,Fiddlesticks,6,0,False,13.70,5889,0,0,4,20013,15,0,False
Desuuuuuuuuuu,Senna,1,0,True,10.78,8119,0,7,9,35670,54,1,True
Desuuuuuuuuuu,Garen,0,0,False,12.10,7811,0,3,4,47207,53,2,True
Desuuuuuuuuuu,Varus,8,0,False,14.85,6532,0,5,2,30991,38,1,True
Desuuuuuuuuuu,Xerath,4,2,False,28.03,11804,0,9,1,113280,111,2,False
Desuuuuuuuuuu,Malphite,1,1,False,11.72,7353,0,2,4,26590,56,1,True
Desuuuuuuuuuu,Aphelios,14,2,False,27.03,16715,1,13,9,175413,102,2,True
Desuuuuuuuuuu,Rakan,6,1,False,12.68,4259,0,3,0,19411,18,0,False
Desuuuuuuuuuu,Zoe,4,3,False,22.63,11048,0,5,6,63880,66,0,False
Desuuuuuuuuuu,DrMundo,0,0,False,12.43,6637,0,3,5,24740,22,0,True
Desuuuuuuuuuu,Vayne,4,0,False,13.55,7383,0,2,3,48297,63,0,True
Desuuuuuuuuuu,Rammus,9,3,False,24.23,9624,0,6,3,56680,41,0,False
Desuuuuuuuuuu,Talon,4,0,True,20.30,12148,0,6,8,96020,51,2,True
Desuuuuuuuuuu,Gangplank,11,2,False,27.05,16444,1,9,9,211107,118,1,False
Desuuuuuuuuuu,Ezreal,6,0,False,28.03,15964,0,5,11,171360,116,1,False
Desuuuuuuuuuu,Shaco,2,1,False,11.80,5201,0,1,2,14541,29,0,False
Desuuuuuuuuuu,Aatrox,7,0,False,24.20,14146,1,16,6,120293,94,2,False
Desuuuuuuuuuu,Sona,8,0,False,16.37,6297,0,2,2,25997,42,0,False
Desuuuuuuuuuu,Singed,4,2,False,24.78,14992,1,15,9,104656,116,3,True
Desuuuuuuuuuu,Hecarim,5,1,False,24.53,17305,0,14,13,133680,97,3,True
Desuuuuuuuuuu,Leblanc,5,1,False,26.03,9923,0,3,3,56030,64,0,False
Desuuuuuuuuuu,Fiddlesticks,1,0,False,14.77,10890,0,5,9,61129,55,1,True
Desuuuuuuuuuu,Lux,19,3,False,29.03,12077,0,8,9,48727,29,0,False
Desuuuuuuuuuu,Talon,4,0,False,16.58,13193,0,7,18,51723,34,0,True
Desuuuuuuuuuu,Nunu,6,1,False,35.00,20740,0,13,14,115776,74,1,False
